Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Rest,Sprint Intervals,Easy Run,Speed Intervals,Recovery Run,Cross Train,Long Run
Rest,Sprint Intervals,Easy Run,Speed Intervals,Recovery Run,Cross Train,Long Run
Rest,Sprint Intervals,Easy Run,Speed Intervals,Recovery Run,Cross Train,Long Run
Rest,Sprint Intervals,Easy Run,Speed Intervals,Recovery Run,Cross Train,Long Run
Rest,Sprint Intervals,Easy Run,Speed Intervals,Recovery Run,Cross Train,Long Run
Rest,Sprint Intervals,Easy Run,Speed Intervals,Recovery Run,Cross Train,Long Run
Rest,Sprint Intervals,Easy Run,Speed Intervals,Recovery Run,Cross Train,Long Run
Rest,Sprint Intervals,Easy Run,Speed Intervals,Recovery Run,Cross Train,Long Run
Rest,Sprint Intervals,Easy Run,Strides,Rest,Shake-out Run,Race
