Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,2,4,3,0,4,5
0,3,4,3,0,5,0
0,3,5,3,0,5,8
0,3,5,3,0,5,9
0,0,5,3,0,5,6
0,6,5,3,0,6,11
0,6,6,3,0,6,12
0,6,5,3,0,6,9
0,6,7,4,0,7,14
0,4,7,4,0,7,15
0,0,5,4,0,0,13
0,6,8,4,0,8,17
0,6,8,5,0,8,18
0,0,5,5,0,8,13
0,5,8,5,0,5,20
0,0,5,5,0,8,12
0,6,8,5,0,5,20
0,6,6,5,0,4,12
0,4,5,4,0,3,8
0,3,4,0,0,2,26
